PALABRA,CATEGORÍA,TERMINACIÓN,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
desubstanciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desudar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desuncir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desunir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desurcar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desurdir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desusar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desustanciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvahar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvainar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvair,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvalijar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvalorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvalorizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvanecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvarar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvaretar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvariar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvastigar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvedar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvelizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvenar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvencijar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvendar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desventar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvergonzar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvestir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvezar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desviar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desviejar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvincular,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvirar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvirgar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvirtuar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvitalizar,VERBO,AR,,,,NORECONOCIDO
desvitrificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desvivir,VERBO,IR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
desvolver,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desyemar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desyerbar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desyugar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
desyuncir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deszafrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deszocar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deszulacar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deszumar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detallar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detardar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
detectar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detener,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detentar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deterger,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deteriorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
determinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detestar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detonar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detornar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
detractar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
detraer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
deturpar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devalar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devaluar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devanear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devastar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devedar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
develar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
develizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devengar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devenir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devisar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
devodar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
devolver,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
devover,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dezmar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diñar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diablear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diaconar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diafanizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diafragmar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diagnosticar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dializar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dialogar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dialogizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diamantar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diazoar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dibujar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diciplinar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dictaminar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dictar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dietar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diezmar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
difamar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diferecer,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
diferenciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diferir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dificultar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
difinecer,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
difinir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
difiuciar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
difluir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
difractar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
difumar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
difuminar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
difundir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
digerecer,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
digerir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
digestir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
digitalizar,VERBO,AR,,,,NORECONOCIDO
digladiar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dignar,VERBO,AR,REGULAR,REFLEXIVO,ACTUAL,RECONOCIDO
dignificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
digredir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dilacerar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dilapidar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dilatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diligenciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dilucidar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diluir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diluviar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dimanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dimensionar,VERBO,AR,,,,NORECONOCIDO
dimidiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diminuecer,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
diminuir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dimir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dimitir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dinamitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dinamizar,VERBO,AR,,,,NORECONOCIDO
dintelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diplomar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diptongar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diputar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diquelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
direccionar,VERBO,AR,,,,NORECONOCIDO
dirigir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dirimir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dirruir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
discantar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disceptar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discerner,VERBO,ER,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
discernir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disciplinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discontinuar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disconvenir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discordar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discrepar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discretear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discriminar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disculpar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discurrir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discursar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discursear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
discutir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diseñar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disecar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diseccionar,VERBO,AR,,,,NORECONOCIDO
diseminar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disentir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disertar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disfamar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disformar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disfrazar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disfrutar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disfumar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disgregar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disgustar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disidir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disimilar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disimular,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disipar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disipular,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dislocar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disminuir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disociar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disolver,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disonar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disparar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disparatar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dispensar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dispersar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dispertar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
displacer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disponer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disputar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
distanciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
distar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
distender,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
distendir,VERBO,IR,,,,NORECONOCIDO
disterminar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
distilar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
distinguir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
distorsionar,VERBO,AR,,,,NORECONOCIDO
distraer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
distribuir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disturbar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
disuadir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
divagar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
divergir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
diversificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
divertir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dividir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
divinar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
divinizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
divisar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
divorciar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
divulgar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
doñear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dobladillar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
doblar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
doblegar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
docilitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
doctorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
doctrinar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
documentar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dogmatizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dolar,VERBO,AR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dolarizar,VERBO,AR,,,,NORECONOCIDO
doler,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
domar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
domeñar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
domesticar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
domiciliar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dominar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
donar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dopar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dormir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dormitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dosificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dotar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dotrinar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
dovelar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dragar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dragonear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dramatizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
drapear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
drastificar,VERBO,AR,,,,NORECONOCIDO
drenar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
drezar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
drizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
drogar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
duchar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dudar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dulcificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dulzorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
dulzurar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
duplicar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
durar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
eceptuar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
echacorvear,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
echar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
echizar,VERBO,MALESCRITO,RECONOCIDO,NOREFLEXIVO
eclesiastizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
eclipsar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
economizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ecualizar,VERBO,AR,,,,NORECONOCIDO
edificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
editar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
editorializar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
edrar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
educar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
educir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
edulcorar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
efectuar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
efeminar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
efigiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
eflorecer,VERBO,ER,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
efluir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
efundir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
egresar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
eguar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
ejabrir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ejecutar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ejecutoriar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ejemplar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ejemplarizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ejemplificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ejercer,VERBO,ER,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
ejercitar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elaborar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
electrificar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
electrizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
electrocutar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
electrolizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elegantizar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elegir,VERBO,IR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elevar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elidir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
eligir,VERBO,IR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
elijar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
eliminar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elitizar,VERBO,AR,,,,NORECONOCIDO
elogiar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elucidar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
elucubrar,VERBO,AR,REGULAR,NOREFLEXIVO,ANTIGUO,RECONOCIDO
eludir,VERBO,IR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
emanar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
emancipar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
emascular,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
embaír,VERBO,ÍR,IRREGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
embabiecar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
embabucar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
embachar,VERBO,AR,REGULAR,NOREFLEXIVO,ACTUAL,RECONOCIDO
